company,title,level,team,location,url
Waymo,Staff Data Engineer,Staff Data Engineer,,,https://careers.withwaymo.com/jobs?gh_jid=6202680
Waymo,"Staff Machine Learning Engineer, Runtime & Optimization","Staff Machine Learning Engineer, Runtime & Optimization",,,https://careers.withwaymo.com/jobs?gh_jid=5853013
Waymo,"Staff Machine Learning Engineer, Simulation","Staff Machine Learning Engineer, Simulation",,,https://careers.withwaymo.com/jobs?gh_jid=5896019
Waymo,"Staff ML Compiler Engineer, Compute   ","Staff ML Compiler Engineer, Compute   ",,,https://careers.withwaymo.com/jobs?gh_jid=6486576
Waymo,"Staff Software Engineer, Quantitative Evaluation","Staff Software Engineer, Quantitative Evaluation",,,https://careers.withwaymo.com/jobs?gh_jid=6240565
Waymo,"Staff Software Engineer, Simulator","Staff Software Engineer, Simulator",,,https://careers.withwaymo.com/jobs?gh_jid=6313255
Waymo,"Staff Systems Engineer, Depot Automation","Staff Systems Engineer, Depot Automation",,,https://careers.withwaymo.com/jobs?gh_jid=6261354
StackAV,"Senior Staff Software Engineer, AI Data Infra Lead","Senior Staff Software Engineer, AI Data Infra Lead",,,https://boards.greenhouse.io/stackav/jobs/4457241007
StackAV," Senior Staff Software Engineer, ML Acceleration Lead"," Senior Staff Software Engineer, ML Acceleration Lead",,,https://boards.greenhouse.io/stackav/jobs/4457536007
StackAV,"Staff ML Engineer, Static World Perception","Staff ML Engineer, Static World Perception",,,https://boards.greenhouse.io/stackav/jobs/4601020007
StackAV,"Staff Software Engineer, Autonomy Performance Evaluation TL","Staff Software Engineer, Autonomy Performance Evaluation TL",,,https://boards.greenhouse.io/stackav/jobs/4539159007
StackAV,"Staff Software Engineer, Developer Experience","Staff Software Engineer, Developer Experience",,,https://boards.greenhouse.io/stackav/jobs/4509947007
StackAV,"Staff Software Engineer, ML Acceleration IC","Staff Software Engineer, ML Acceleration IC",,,https://boards.greenhouse.io/stackav/jobs/4460461007
StackAV,"Staff Software Engineer, ML Platform","Staff Software Engineer, ML Platform",,,https://boards.greenhouse.io/stackav/jobs/4527579007
StackAV,"Staff Software Engineer, Motion Planning ML","Staff Software Engineer, Motion Planning ML",,,https://boards.greenhouse.io/stackav/jobs/4526209007
StackAV,"Staff Software Engineer, Onboard Infrastructure","Staff Software Engineer, Onboard Infrastructure",,,https://boards.greenhouse.io/stackav/jobs/4604457007
StackAV,"Staff Software Engineer, Tracking","Staff Software Engineer, Tracking",,,https://boards.greenhouse.io/stackav/jobs/4550683007
Scale,Senior/Staff Machine Learning Research Scientist Generative AI,Senior/Staff Machine Learning Research Scientist Generative AI,,,https://job-boards.greenhouse.io/scaleai/jobs/4315289005
Scale,"Staff Software Engineer, Data Infrastructure","Staff Software Engineer, Data Infrastructure",,,https://job-boards.greenhouse.io/scaleai/jobs/4388354005
Databricks,"GenAI Senior Staff Machine Learning Engineer, Platform","GenAI Senior Staff Machine Learning Engineer, Platform",,,https://databricks.com/company/careers/open-positions/job?gh_jid=6954411002
Databricks,"GenAI Staff Machine Learning Engineer, AI Runtime","GenAI Staff Machine Learning Engineer, AI Runtime",,,https://databricks.com/company/careers/open-positions/job?gh_jid=6954414002
Databricks,"GenAI Staff Machine Learning Engineer, Performance Optimization","GenAI Staff Machine Learning Engineer, Performance Optimization",,,https://databricks.com/company/careers/open-positions/job?gh_jid=6954415002
Databricks,Senior Staff Software Engineer - App Platform,Senior Staff Software Engineer - App Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7731360002
Databricks,Senior Staff Software Engineer - App Platform,Senior Staff Software Engineer - App Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7732468002
Databricks,Senior Staff Software Engineer - App Platform,Senior Staff Software Engineer - App Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7732463002
Databricks,Senior Staff Software Engineer (Backend),Senior Staff Software Engineer (Backend),,,https://databricks.com/company/careers/open-positions/job?gh_jid=7651326002
Databricks,Senior Staff Software Engineer (Backend),Senior Staff Software Engineer (Backend),,,https://databricks.com/company/careers/open-positions/job?gh_jid=7651345002
Databricks,Senior Staff Software Engineer - Cryptography,Senior Staff Software Engineer - Cryptography,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274908002
Databricks,Senior Staff Software Engineer - Cryptography,Senior Staff Software Engineer - Cryptography,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274902002
Databricks,Senior Staff Software Engineer - Customer Engagement,Senior Staff Software Engineer - Customer Engagement,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7515663002
Databricks,Senior Staff Software Engineer - Customer Engagement,Senior Staff Software Engineer - Customer Engagement,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7516095002
Databricks,Senior Staff Software Engineer - IAM,Senior Staff Software Engineer - IAM,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274557002
Databricks,Senior Staff Software Engineer - IAM,Senior Staff Software Engineer - IAM,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274563002
Databricks,Senior Staff Software Engineer - IAM,Senior Staff Software Engineer - IAM,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274924002
Databricks,Senior Staff Software Engineer - Privacy,Senior Staff Software Engineer - Privacy,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274619002
Databricks,Senior Staff Software Engineer - Privacy,Senior Staff Software Engineer - Privacy,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274875002
Databricks,Senior Staff Software Engineer - Privacy,Senior Staff Software Engineer - Privacy,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274488002
Databricks,Senior Staff Software Engineer - Privacy,Senior Staff Software Engineer - Privacy,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7274624002
Databricks,Senior Staff Software Engineer - Serverless Efficiency,Senior Staff Software Engineer - Serverless Efficiency,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7722657002
Databricks,Sr. Staff Security Engineer,Sr. Staff Security Engineer,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7440008002
Databricks,Sr Staff Software Engineer (Backend),Sr Staff Software Engineer (Backend),,,https://databricks.com/company/careers/open-positions/job?gh_jid=7630152002
Databricks,Sr Staff Software Engineer (Data Platform),Sr Staff Software Engineer (Data Platform),,,https://databricks.com/company/careers/open-positions/job?gh_jid=7651346002
Databricks,Staff Backline Engineer - Platform,Staff Backline Engineer - Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7677085002
Databricks,Staff Data Scientist - Cloud Efficiency,Staff Data Scientist - Cloud Efficiency,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7424883002
Databricks,Staff Data Scientist - Data Science Platform,Staff Data Scientist - Data Science Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7625815002
Databricks,Staff GenAI Research Scientist,Staff GenAI Research Scientist,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7434532002
Databricks,Staff GenAI Research Scientist,Staff GenAI Research Scientist,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7434541002
Databricks,Staff Security Assurance Engineer - Compliance,Staff Security Assurance Engineer - Compliance,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7688289002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=4508014002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7477088002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6861615002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6779232002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6779233002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6759671002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6544443002
Databricks,Staff Software Engineer - Backend,Staff Software Engineer - Backend,,,https://databricks.com/company/careers/open-positions/job?gh_jid=5408888002
Databricks,Staff Software Engineer - Backend  ,Staff Software Engineer - Backend  ,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7642799002
Databricks,Staff Software Engineer (Backend / Fullstack),Staff Software Engineer (Backend / Fullstack),,,https://databricks.com/company/careers/open-positions/job?gh_jid=6716343002
Databricks,Staff Software Engineer Databases,Staff Software Engineer Databases,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7319815002
Databricks,Staff Software Engineer - Databases,Staff Software Engineer - Databases,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7601565002
Databricks,Staff Software Engineer - Data Platform,Staff Software Engineer - Data Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7601572002
Databricks,Staff Software Engineer - Data Platform,Staff Software Engineer - Data Platform,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7652016002
Databricks,Staff Software Engineer - Distributed Data Systems,Staff Software Engineer - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6544364002
Databricks,Staff Software Engineer - Distributed Data Systems,Staff Software Engineer - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7696308002
Databricks,Staff Software Engineer - Distributed Data Systems,Staff Software Engineer - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6937000002
Databricks,Staff Software Engineer - Distributed Data Systems,Staff Software Engineer - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6861630002
Databricks,Staff Software Engineer - Distributed Data Systems,Staff Software Engineer - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6937001002
Databricks,Staff Software Engineer - Distributed Data Systems,Staff Software Engineer - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=5646855002
Databricks,Staff Software Engineer - Fullstack,Staff Software Engineer - Fullstack,,,https://databricks.com/company/careers/open-positions/job?gh_jid=4509540002
Databricks,Staff Software Engineer - Infrastructure,Staff Software Engineer - Infrastructure,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7648674002
Databricks,Staff Software Engineer (L6) - Distributed Data Systems,Staff Software Engineer (L6) - Distributed Data Systems,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7477633002
Databricks,"Staff Software Engineer - Money, Infrastructure","Staff Software Engineer - Money, Infrastructure",,,https://databricks.com/company/careers/open-positions/job?gh_jid=7654349002
Databricks,Staff Software Engineer - Money Team,Staff Software Engineer - Money Team,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7111068002
Databricks,Staff Software Engineer- Networking,Staff Software Engineer- Networking,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7648669002
Databricks,Staff Software Engineer - Observability,Staff Software Engineer - Observability,,,https://databricks.com/company/careers/open-positions/job?gh_jid=7431175002
